stimulus_id,stimulus_text,response_start,response_end,response_duration,response_file,transcription,text_prompted,text_plain,asr_strategy,over_anchored,cross_wer,transcription_norm,stimulus_norm,wer,cer,learner_wer,learner_score,asr_wer,word_f1,n_ref_words,n_hyp_words,no_speech_prob,asr_status,backend,elapsed_s,word_timestamps,drift_corrected
13,Quiero una casa en la que vivan mis animales,128.2,131.7,3.5,eit_output_v3/038011_1A_preprocessed/responses/response_13.wav,Quiero una casa que viven a mis animales.,Quiero una casa en la que vivan mis animales,Quiero una casa que viven a mis animales.,plain_fallback,True,0.4444,quiero una casa que viven a mis animales,quiero una casa en la que vivan mis animales,0.4444,0.2045,0.4444,0.5556,,0.7059,9,8,0.0093,OK,mlx,1.014,"[{""word"": ""Quiero"", ""start"": 0.0, ""end"": 0.44, ""probability"": 0.57763671875}, {""word"": ""una"", ""start"": 0.44, ""end"": 0.62, ""probability"": 0.82421875}, {""word"": ""casa"", ""start"": 0.62, ""end"": 0.9, ""probability"": 0.578125}, {""word"": ""en"", ""start"": 0.9, ""end"": 1.1, ""probability"": 0.0010700225830078125}, {""word"": ""la"", ""start"": 1.1, ""end"": 1.14, ""probability"": 0.251220703125}, {""word"": ""que"", ""start"": 1.14, ""end"": 1.14, ""probability"": 0.62109375}, {""word"": ""vivan"", ""start"": 1.14, ""end"": 2.26, ""probability"": 0.0404052734375}, {""word"": ""mis"", ""start"": 2.26, ""end"": 2.52, ""probability"": 0.0080108642578125}, {""word"": ""animales"", ""start"": 2.52, ""end"": 2.98, ""probability"": 0.9423828125}]",False
14,A nosotros nos fascinan las fiestas grandiosas,140.6,143.1,2.5,eit_output_v3/038011_1A_preprocessed/responses/response_14.wav,A nosotros que las fiestas,A nosotros que las fiestas,A nosotros que las vices,prompted,False,0.2,a nosotros que las fiestas,a nosotros nos fascinan las fiestas grandiosas,0.4286,0.5,0.4286,0.5714,,0.6667,7,5,0.0154,OK,mlx,0.968,"[{""word"": ""A"", ""start"": 0.0, ""end"": 0.3, ""probability"": 0.499755859375}, {""word"": ""nosotros"", ""start"": 0.3, ""end"": 0.78, ""probability"": 0.95703125}, {""word"": ""que"", ""start"": 0.78, ""end"": 1.24, ""probability"": 0.57763671875}, {""word"": ""las"", ""start"": 1.24, ""end"": 1.56, ""probability"": 0.5234375}, {""word"": ""fiestas"", ""start"": 1.56, ""end"": 2.36, ""probability"": 0.341552734375}]",False
15,Ella sólo bebe cerveza y no come nada,153.9,157.8,3.9,eit_output_v3/038011_1A_preprocessed/responses/response_15.wav,Ella sólo bebe cerveza y como...,Ella sólo bebe cerveza y como...,Ella es toda severza y... ¿Cómo...?,prompted,False,0.6667,ella sólo bebe cerveza y como,ella sólo bebe cerveza y no come nada,0.375,0.2432,0.375,0.625,,0.7143,8,6,0.0095,OK,mlx,1.016,"[{""word"": ""Ella"", ""start"": 0.0, ""end"": 0.32, ""probability"": 0.5322265625}, {""word"": ""sólo"", ""start"": 0.32, ""end"": 0.58, ""probability"": 0.005069732666015625}, {""word"": ""bebe"", ""start"": 0.58, ""end"": 1.04, ""probability"": 0.2457275390625}, {""word"": ""cerveza"", ""start"": 1.04, ""end"": 1.54, ""probability"": 0.49560546875}, {""word"": ""y"", ""start"": 1.54, ""end"": 1.88, ""probability"": 0.80859375}, {""word"": ""como..."", ""start"": 1.88, ""end"": 4.06, ""probability"": 0.411376953125}]",False
16,Me gustaría que el precio de las casas bajara,167.9,174.2,6.3,eit_output_v3/038011_1A_preprocessed/responses/response_16.wav,Me gustaría los precios de las caras para nada,Me gustaría los precios de las caras para nada,Me gustaría los precios de los caras para nada.,prompted,False,0.1111,me gustaría los precios de las caras para nada,me gustaría que el precio de las casas bajara,0.6667,0.3111,0.6667,0.3333,,0.4444,9,9,0.0027,OK,mlx,1.026,"[{""word"": ""Me"", ""start"": 0.0, ""end"": 0.26, ""probability"": 0.6201171875}, {""word"": ""gustaría"", ""start"": 0.26, ""end"": 0.58, ""probability"": 0.68115234375}, {""word"": ""los"", ""start"": 0.58, ""end"": 1.7, ""probability"": 0.78076171875}, {""word"": ""precios"", ""start"": 1.7, ""end"": 2.24, ""probability"": 0.99267578125}, {""word"": ""de"", ""start"": 2.24, ""end"": 2.7, ""probability"": 0.95751953125}, {""word"": ""las"", ""start"": 2.7, ""end"": 3.72, ""probability"": 0.0863037109375}, {""word"": ""caras"", ""start"": 3.72, ""end"": 4.42, ""probability"": 0.9609375}, {""word"": ""para"", ""start"": 4.42, ""end"": 4.56, ""probability"": 0.52783203125}, {""word"": ""nada"", ""start"": 4.56, ""end"": 4.82, ""probability"": 0.9853515625}]",False
17,Cruza a la derecha y después sigue todo recto,182.1,188.5,6.4,eit_output_v3/038011_1A_preprocessed/responses/response_17.wav,Cursa la derecha y siga... ...de lecho.,Cruza a la derecha y después sigue todo recto,Cursa la derecha y siga... ...de lecho.,plain_fallback,True,0.6667,cursa la derecha y siga de lecho,cruza a la derecha y después sigue todo recto,0.6667,0.4222,0.6667,0.3333,,0.375,9,7,0.0068,OK,mlx,1.105,"[{""word"": ""Cruza"", ""start"": 0.0, ""end"": 0.68, ""probability"": 0.333740234375}, {""word"": ""a"", ""start"": 0.68, ""end"": 0.88, ""probability"": 0.1641845703125}, {""word"": ""la"", ""start"": 0.88, ""end"": 0.98, ""probability"": 0.98828125}, {""word"": ""derecha"", ""start"": 0.98, ""end"": 1.64, ""probability"": 0.99462890625}, {""word"": ""y"", ""start"": 1.64, ""end"": 2.08, ""probability"": 0.966796875}, {""word"": ""después"", ""start"": 2.08, ""end"": 2.28, ""probability"": 1.2516975402832031e-06}, {""word"": ""sigue"", ""start"": 2.28, ""end"": 3.5, ""probability"": 0.0239715576171875}, {""word"": ""todo"", ""start"": 3.5, ""end"": 5.42, ""probability"": 0.0014858245849609375}, {""word"": ""recto"", ""start"": 5.42, ""end"": 6.34, ""probability"": 0.397216796875}]",False
18,Ella ha terminado de pintar su apartamento,196.1,201.7,5.6,eit_output_v3/038011_1A_preprocessed/responses/response_18.wav,Ella ha terminado los apartamientos.,Ella ha terminado de pintar su apartamento,Ella ha terminado los apartamientos.,plain_fallback,True,0.5714,ella ha terminado los apartamientos,ella ha terminado de pintar su apartamento,0.5714,0.3095,0.5714,0.4286,,0.5,7,5,0.0013,OK,mlx,0.993,"[{""word"": ""Ella"", ""start"": 0.0, ""end"": 0.38, ""probability"": 0.254638671875}, {""word"": ""ha"", ""start"": 0.38, ""end"": 0.58, ""probability"": 0.8828125}, {""word"": ""terminado"", ""start"": 0.58, ""end"": 1.52, ""probability"": 0.9951171875}, {""word"": ""de"", ""start"": 1.52, ""end"": 2.7, ""probability"": 0.0022907257080078125}, {""word"": ""pintar"", ""start"": 2.7, ""end"": 3.38, ""probability"": 0.2587890625}, {""word"": ""su"", ""start"": 3.38, ""end"": 3.38, ""probability"": 0.0097503662109375}, {""word"": ""apartamento"", ""start"": 3.38, ""end"": 5.24, ""probability"": 0.380859375}]",False
19,Me gustaría que empezara a hacer más calor pronto,208.5,214.9,6.4,eit_output_v3/038011_1A_preprocessed/responses/response_19.wav,Me gustaría las hacer pronto,Me gustaría las hacer pronto,Me gustaría las hacer pronto.,prompted,False,0.0,me gustaría las hacer pronto,me gustaría que empezara a hacer más calor pronto,0.5556,0.4694,0.5556,0.4444,,0.5714,9,5,0.0031,OK,mlx,0.9359999999999999,"[{""word"": ""Me"", ""start"": 0.0, ""end"": 0.3, ""probability"": 0.62841796875}, {""word"": ""gustaría"", ""start"": 0.3, ""end"": 0.66, ""probability"": 0.98779296875}, {""word"": ""las"", ""start"": 0.66, ""end"": 1.56, ""probability"": 0.80810546875}, {""word"": ""hacer"", ""start"": 1.56, ""end"": 2.28, ""probability"": 0.9833984375}, {""word"": ""pronto"", ""start"": 2.28, ""end"": 4.66, ""probability"": 0.87939453125}]",False
20,El niño al que se le murió el gato está triste,222.6,226.6,4.0,eit_output_v3/038011_1A_preprocessed/responses/response_20.wav,El niño al que se murió el gato está triste,El niño al que se murió el gato está triste,El niño que se murió del gato está triste.,prompted,False,0.2,el niño al que se murió el gato está triste,el niño al que se le murió el gato está triste,0.0909,0.0652,0.0909,0.9091,,0.9474,11,10,0.0023,OK,mlx,1.028,"[{""word"": ""El"", ""start"": 0.0, ""end"": 0.3, ""probability"": 0.47216796875}, {""word"": ""niño"", ""start"": 0.3, ""end"": 0.62, ""probability"": 0.98681640625}, {""word"": ""al"", ""start"": 0.62, ""end"": 1.38, ""probability"": 0.0017910003662109375}, {""word"": ""que"", ""start"": 1.38, ""end"": 1.38, ""probability"": 0.82666015625}, {""word"": ""se"", ""start"": 1.38, ""end"": 1.62, ""probability"": 0.91015625}, {""word"": ""murió"", ""start"": 1.62, ""end"": 2.16, ""probability"": 0.978515625}, {""word"": ""el"", ""start"": 2.16, ""end"": 2.34, ""probability"": 0.06561279296875}, {""word"": ""gato"", ""start"": 2.34, ""end"": 2.82, ""probability"": 0.9794921875}, {""word"": ""está"", ""start"": 2.82, ""end"": 3.26, ""probability"": 0.6337890625}, {""word"": ""triste"", ""start"": 3.26, ""end"": 3.74, ""probability"": 0.9990234375}]",False
21,Una amiga mía cuida a los niños de mi vecino,237.3,241.9,4.6,eit_output_v3/038011_1A_preprocessed/responses/response_21.wav,Una amiga bien cuidar a los niños de mi vecino,Una amiga bien cuidar a los niños de mi vecino,"Una amiga bien, cuidar los niños a mi vecino.",prompted,False,0.2,una amiga bien cuidar a los niños de mi vecino,una amiga mía cuida a los niños de mi vecino,0.2,0.1136,0.2,0.8,,0.8,10,10,0.0069,OK,mlx,1.103,"[{""word"": ""Una"", ""start"": 0.0, ""end"": 0.34, ""probability"": 0.6953125}, {""word"": ""amiga"", ""start"": 0.34, ""end"": 0.68, ""probability"": 0.9814453125}, {""word"": ""bien"", ""start"": 0.68, ""end"": 1.04, ""probability"": 0.79931640625}, {""word"": ""cuidar"", ""start"": 1.04, ""end"": 1.82, ""probability"": 0.6328125}, {""word"": ""a"", ""start"": 1.82, ""end"": 1.98, ""probability"": 0.302490234375}, {""word"": ""los"", ""start"": 1.98, ""end"": 2.06, ""probability"": 0.96435546875}, {""word"": ""niños"", ""start"": 2.06, ""end"": 2.46, ""probability"": 0.99609375}, {""word"": ""de"", ""start"": 2.46, ""end"": 3.18, ""probability"": 0.009796142578125}, {""word"": ""mi"", ""start"": 3.18, ""end"": 3.42, ""probability"": 0.9345703125}, {""word"": ""vecino"", ""start"": 3.42, ""end"": 4.52, ""probability"": 0.9736328125}]",False
22,El gato que era negro fue perseguido por el perro,250.9,257.6,6.7,eit_output_v3/038011_1A_preprocessed/responses/response_22.wav,El gato era negro y el perro,El gato era negro y el perro,El gato era negro y... el perro.,prompted,False,0.0,el gato era negro y el perro,el gato que era negro fue perseguido por el perro,0.4,0.449,0.4,0.6,,0.6667,10,7,0.003,OK,mlx,1.009,"[{""word"": ""El"", ""start"": 0.0, ""end"": 0.3, ""probability"": 0.7880859375}, {""word"": ""gato"", ""start"": 0.3, ""end"": 0.88, ""probability"": 0.939453125}, {""word"": ""era"", ""start"": 0.88, ""end"": 1.7, ""probability"": 0.96826171875}, {""word"": ""negro"", ""start"": 1.7, ""end"": 2.2, ""probability"": 0.9912109375}, {""word"": ""y"", ""start"": 2.2, ""end"": 3.24, ""probability"": 0.890625}, {""word"": ""el"", ""start"": 3.24, ""end"": 5.5, ""probability"": 0.41259765625}, {""word"": ""perro"", ""start"": 5.5, ""end"": 6.44, ""probability"": 0.966796875}]",False
23,Antes de poder salir él tiene que limpiar su cuarto,266.1,274.4,8.3,eit_output_v3/038011_1A_preprocessed/responses/response_23.wav,Antes de que salir puede cuarto,Antes de que salir puede cuarto,Antes de que salier Puede cuarto?,prompted,False,0.1667,antes de que salir puede cuarto,antes de poder salir él tiene que limpiar su cuarto,0.6,0.4902,0.6,0.4,,0.625,10,6,0.001,OK,mlx,0.992,"[{""word"": ""Antes"", ""start"": 0.0, ""end"": 0.5, ""probability"": 0.5341796875}, {""word"": ""de"", ""start"": 0.5, ""end"": 0.82, ""probability"": 0.9873046875}, {""word"": ""que"", ""start"": 0.82, ""end"": 1.08, ""probability"": 0.96484375}, {""word"": ""salir"", ""start"": 1.08, ""end"": 2.18, ""probability"": 0.35107421875}, {""word"": ""puede"", ""start"": 2.18, ""end"": 5.7, ""probability"": 0.10968017578125}, {""word"": ""cuarto"", ""start"": 5.7, ""end"": 8.02, ""probability"": 0.85986328125}]",False
24,La cantidad de personas que fuman ha disminuido,282.2,286.6,4.4,eit_output_v3/038011_1A_preprocessed/responses/response_24.wav,La cantidad de las personas fuman que me he salido,La cantidad de las personas fuman que me he salido,La cantidad de las personas fuman que me he salido.,prompted,False,0.0,la cantidad de las personas fuman que me he salido,la cantidad de personas que fuman ha disminuido,0.625,0.4255,0.625,0.375,,0.6667,8,10,0.0016,OK,mlx,1.0310000000000001,"[{""word"": ""La"", ""start"": 0.0, ""end"": 0.32, ""probability"": 0.7197265625}, {""word"": ""cantidad"", ""start"": 0.32, ""end"": 0.6, ""probability"": 0.9951171875}, {""word"": ""de"", ""start"": 0.6, ""end"": 1.0, ""probability"": 0.99658203125}, {""word"": ""las"", ""start"": 1.0, ""end"": 1.5, ""probability"": 0.82275390625}, {""word"": ""personas"", ""start"": 1.5, ""end"": 2.02, ""probability"": 0.99462890625}, {""word"": ""fuman"", ""start"": 2.02, ""end"": 2.66, ""probability"": 0.6572265625}, {""word"": ""que"", ""start"": 2.66, ""end"": 3.3, ""probability"": 0.76513671875}, {""word"": ""me"", ""start"": 3.3, ""end"": 3.68, ""probability"": 0.460205078125}, {""word"": ""he"", ""start"": 3.68, ""end"": 3.78, ""probability"": 0.71044921875}, {""word"": ""salido"", ""start"": 3.78, ""end"": 4.26, ""probability"": 0.7548828125}]",False
25,Después de llegar a casa del trabajo tomé la cena,297.1,302.8,5.7,eit_output_v3/038011_1A_preprocessed/responses/response_25.wav,Después de llegar a casa fui a la cena,Después de llegar a casa fui a la cena,"Después de llegar a la casa, fui a la cena.",prompted,False,0.1111,después de llegar a casa fui a la cena,después de llegar a casa del trabajo tomé la cena,0.3,0.2857,0.3,0.7,,0.7778,10,9,0.001,OK,mlx,1.028,"[{""word"": ""Después"", ""start"": 0.0, ""end"": 0.48, ""probability"": 0.8486328125}, {""word"": ""de"", ""start"": 0.48, ""end"": 0.76, ""probability"": 0.98681640625}, {""word"": ""llegar"", ""start"": 0.76, ""end"": 1.08, ""probability"": 0.61328125}, {""word"": ""a"", ""start"": 1.08, ""end"": 1.36, ""probability"": 0.9697265625}, {""word"": ""casa"", ""start"": 1.36, ""end"": 1.74, ""probability"": 0.138671875}, {""word"": ""fui"", ""start"": 4.199999999999999, ""end"": 4.84, ""probability"": 0.127685546875}, {""word"": ""a"", ""start"": 4.84, ""end"": 5.04, ""probability"": 0.982421875}, {""word"": ""la"", ""start"": 5.04, ""end"": 5.16, ""probability"": 0.994140625}, {""word"": ""cena"", ""start"": 5.16, ""end"": 5.52, ""probability"": 0.7451171875}]",False
26,El ladrón al que atrapó la policía era famoso,314.1,321.1,7.0,eit_output_v3/038011_1A_preprocessed/responses/response_26.wav,Perdón a la policía Eran famoso,Perdón a la policía Eran famoso,"Perdón a la policía, eran famoso.",prompted,False,0.0,perdón a la policía eran famoso,el ladrón al que atrapó la policía era famoso,0.6667,0.4222,0.6667,0.3333,,0.4,9,6,0.0023,OK,mlx,1.012,"[{""word"": ""Perdón"", ""start"": 0.0, ""end"": 0.76, ""probability"": 0.865234375}, {""word"": ""a"", ""start"": 0.76, ""end"": 1.0, ""probability"": 0.91845703125}, {""word"": ""la"", ""start"": 1.0, ""end"": 1.12, ""probability"": 0.998046875}, {""word"": ""policía"", ""start"": 1.12, ""end"": 3.46, ""probability"": 0.94482421875}, {""word"": ""Eran"", ""start"": 5.6000000000000005, ""end"": 6.2, ""probability"": 0.443115234375}, {""word"": ""famoso"", ""start"": 6.2, ""end"": 6.64, ""probability"": 0.619140625}]",False
