stimulus_id,stimulus_text,response_start,response_end,response_duration,response_file,transcription,transcription_norm,stimulus_norm,wer,cer,n_ref_words,n_hyp_words,no_speech_prob,asr_status,backend,elapsed_s,word_timestamps,drift_corrected
11,El chico con el que yo salgo es español,102.8,106.3,3.5,eit_output_v3/038010_2A_preprocessed/responses/response_11.wav,El chico que hago es español.,el chico que hago es español,el chico con el que yo salgo es español,0.4444,0.3077,9,6,0.0299,OK,mlx,65.062,"[{""word"": ""El"", ""start"": 0.0, ""end"": 0.26, ""probability"": 0.9228515625}, {""word"": ""chico"", ""start"": 0.26, ""end"": 0.66, ""probability"": 0.966796875}, {""word"": ""que"", ""start"": 0.66, ""end"": 0.88, ""probability"": 0.9677734375}, {""word"": ""hago"", ""start"": 0.88, ""end"": 2.06, ""probability"": 0.880859375}, {""word"": ""es"", ""start"": 2.06, ""end"": 2.66, ""probability"": 0.9775390625}, {""word"": ""español."", ""start"": 2.66, ""end"": 3.06, ""probability"": 0.91015625}]",False
12,Después de cenar me fui a dormir tranquilo,114.7,118.2,3.5,eit_output_v3/038010_2A_preprocessed/responses/response_12.wav,"Después de cenar, me fui a dormir tranquilo.",después de cenar me fui a dormir tranquilo,después de cenar me fui a dormir tranquilo,0.0,0.0,8,8,0.018,OK,mlx,60.289,"[{""word"": ""Después"", ""start"": 0.0, ""end"": 0.36, ""probability"": 0.9140625}, {""word"": ""de"", ""start"": 0.36, ""end"": 0.62, ""probability"": 0.9970703125}, {""word"": ""cenar,"", ""start"": 0.62, ""end"": 1.16, ""probability"": 0.9970703125}, {""word"": ""me"", ""start"": 1.16, ""end"": 1.52, ""probability"": 0.9931640625}, {""word"": ""fui"", ""start"": 1.52, ""end"": 1.82, ""probability"": 0.99462890625}, {""word"": ""a"", ""start"": 1.82, ""end"": 1.94, ""probability"": 0.98828125}, {""word"": ""dormir"", ""start"": 1.94, ""end"": 2.46, ""probability"": 0.99658203125}, {""word"": ""tranquilo."", ""start"": 2.46, ""end"": 3.5, ""probability"": 0.8916015625}]",False
13,Quiero una casa en la que vivan mis animales,126.6,130.4,3.8,eit_output_v3/038010_2A_preprocessed/responses/response_13.wav,Quiero una casa en la que vivan animales.,quiero una casa en la que vivan animales,quiero una casa en la que vivan mis animales,0.1111,0.0909,9,8,0.0194,OK,mlx,59.289,"[{""word"": ""Quiero"", ""start"": 0.0, ""end"": 0.28, ""probability"": 0.953125}, {""word"": ""una"", ""start"": 0.28, ""end"": 0.44, ""probability"": 0.99658203125}, {""word"": ""casa"", ""start"": 0.44, ""end"": 0.78, ""probability"": 0.9990234375}, {""word"": ""en"", ""start"": 0.78, ""end"": 1.16, ""probability"": 0.98681640625}, {""word"": ""la"", ""start"": 1.16, ""end"": 1.6, ""probability"": 0.97900390625}, {""word"": ""que"", ""start"": 1.6, ""end"": 1.78, ""probability"": 0.994140625}, {""word"": ""vivan"", ""start"": 1.78, ""end"": 2.44, ""probability"": 0.8984375}, {""word"": ""animales."", ""start"": 2.44, ""end"": 3.2, ""probability"": 0.97607421875}]",False
14,A nosotros nos fascinan las fiestas grandiosas,140.7,142.1,1.4,eit_output_v3/038010_2A_preprocessed/responses/response_14.wav,A nosotros.,a nosotros,a nosotros nos fascinan las fiestas grandiosas,0.7143,0.7826,7,2,0.0524,OK,mlx,50.934,"[{""word"": ""A"", ""start"": 0.0, ""end"": 0.2, ""probability"": 0.64013671875}, {""word"": ""nosotros."", ""start"": 0.2, ""end"": 0.62, ""probability"": 0.9853515625}]",False
15,Ella sólo bebe cerveza y no come nada,153.6,158.7,5.1,eit_output_v3/038010_2A_preprocessed/responses/response_15.wav,Ella solo bebe cerveza y no come nada.,ella solo bebe cerveza y no come nada,ella sólo bebe cerveza y no come nada,0.125,0.027,8,8,0.0159,OK,mlx,5.108,"[{""word"": ""Ella"", ""start"": 0.0, ""end"": 0.24, ""probability"": 0.88671875}, {""word"": ""solo"", ""start"": 0.24, ""end"": 0.82, ""probability"": 0.78515625}, {""word"": ""bebe"", ""start"": 0.82, ""end"": 2.24, ""probability"": 0.9599609375}, {""word"": ""cerveza"", ""start"": 2.24, ""end"": 3.06, ""probability"": 0.99462890625}, {""word"": ""y"", ""start"": 3.06, ""end"": 3.22, ""probability"": 0.9794921875}, {""word"": ""no"", ""start"": 3.22, ""end"": 3.46, ""probability"": 0.99658203125}, {""word"": ""come"", ""start"": 3.46, ""end"": 3.88, ""probability"": 0.95751953125}, {""word"": ""nada."", ""start"": 3.88, ""end"": 4.12, ""probability"": 0.98583984375}]",False
16,Me gustaría que el precio de las casas bajara,167.3,168.3,1.0,eit_output_v3/038010_2A_preprocessed/responses/response_16.wav,Me gustaría...,me gustaría,me gustaría que el precio de las casas bajara,0.7778,0.7556,9,2,0.118,OK,mlx,3.561,"[{""word"": ""Me"", ""start"": 0.0, ""end"": 0.24, ""probability"": 0.564453125}, {""word"": ""gustaría..."", ""start"": 0.24, ""end"": 1.0, ""probability"": 0.88037109375}]",False
17,Cruza a la derecha y después sigue todo recto,182.0,186.7,4.7,eit_output_v3/038010_2A_preprocessed/responses/response_17.wav,Pulsa a la derecha y después siga recto.,pulsa a la derecha y después siga recto,cruza a la derecha y después sigue todo recto,0.3333,0.2444,9,8,0.017,OK,mlx,5.251,"[{""word"": ""Pulsa"", ""start"": 0.0, ""end"": 0.34, ""probability"": 0.63134765625}, {""word"": ""a"", ""start"": 0.34, ""end"": 0.44, ""probability"": 0.67236328125}, {""word"": ""la"", ""start"": 0.44, ""end"": 0.6, ""probability"": 0.99169921875}, {""word"": ""derecha"", ""start"": 0.6, ""end"": 1.26, ""probability"": 0.99658203125}, {""word"": ""y"", ""start"": 1.26, ""end"": 1.38, ""probability"": 0.8349609375}, {""word"": ""después"", ""start"": 1.38, ""end"": 1.82, ""probability"": 0.89892578125}, {""word"": ""siga"", ""start"": 1.82, ""end"": 2.62, ""probability"": 0.89111328125}, {""word"": ""recto."", ""start"": 2.62, ""end"": 4.6, ""probability"": 0.95556640625}]",False
18,Ella ha terminado de pintar su apartamento,195.3,200.4,5.1,eit_output_v3/038010_2A_preprocessed/responses/response_18.wav,Ella terminar... Pinta su apartamento.,ella terminar pinta su apartamento,ella ha terminado de pintar su apartamento,0.5714,0.2143,7,5,0.0078,OK,mlx,4.167,"[{""word"": ""Ella"", ""start"": 0.0, ""end"": 0.28, ""probability"": 0.640625}, {""word"": ""terminar..."", ""start"": 0.28, ""end"": 1.86, ""probability"": 0.34716796875}, {""word"": ""Pinta"", ""start"": 3.08, ""end"": 3.78, ""probability"": 0.69921875}, {""word"": ""su"", ""start"": 3.78, ""end"": 4.2, ""probability"": 0.94091796875}, {""word"": ""apartamento."", ""start"": 4.2, ""end"": 5.02, ""probability"": 0.9912109375}]",False
20,El niño al que se le murió el gato está triste,222.2,229.0,6.8,eit_output_v3/038010_2A_preprocessed/responses/response_19.wav,El niño a que se murió el gato. Triste.,el niño a que se murió el gato triste,el niño al que se le murió el gato está triste,0.2727,0.1957,9,9,0.0056,OK,mlx,5.147,"[{""word"": ""El"", ""start"": 0.0, ""end"": 0.2, ""probability"": 0.77490234375}, {""word"": ""niño"", ""start"": 0.2, ""end"": 0.52, ""probability"": 0.970703125}, {""word"": ""a"", ""start"": 0.52, ""end"": 0.98, ""probability"": 0.259765625}, {""word"": ""que"", ""start"": 0.98, ""end"": 1.74, ""probability"": 0.80322265625}, {""word"": ""se"", ""start"": 1.74, ""end"": 3.06, ""probability"": 0.91259765625}, {""word"": ""murió"", ""start"": 3.06, ""end"": 4.32, ""probability"": 0.9423828125}, {""word"": ""el"", ""start"": 4.32, ""end"": 4.66, ""probability"": 0.82568359375}, {""word"": ""gato."", ""start"": 4.66, ""end"": 5.26, ""probability"": 0.998046875}, {""word"": ""Triste."", ""start"": 5.7, ""end"": 6.76, ""probability"": 0.97705078125}]",True
21,Una amiga mía cuida a los niños de mi vecino,236.0,241.4,5.4,eit_output_v3/038010_2A_preprocessed/responses/response_20.wav,"Amiga mía, cuidado los niños.",amiga mía cuidado los niños,una amiga mía cuida a los niños de mi vecino,0.6,0.4318,11,5,0.0077,OK,mlx,3.602,"[{""word"": ""Amiga"", ""start"": 0.0, ""end"": 0.7, ""probability"": 0.63671875}, {""word"": ""mía,"", ""start"": 0.7, ""end"": 1.82, ""probability"": 0.8388671875}, {""word"": ""cuidado"", ""start"": 1.82, ""end"": 3.3, ""probability"": 0.64404296875}, {""word"": ""los"", ""start"": 3.3, ""end"": 4.24, ""probability"": 0.76318359375}, {""word"": ""niños."", ""start"": 4.24, ""end"": 4.8, ""probability"": 0.8994140625}]",True
22,El gato que era negro fue perseguido por el perro,250.3,252.9,2.6,eit_output_v3/038010_2A_preprocessed/responses/response_21.wav,El gato que era negro.,el gato que era negro,el gato que era negro fue perseguido por el perro,0.5,0.5714,10,5,0.0091,OK,mlx,3.631,"[{""word"": ""El"", ""start"": 0.0, ""end"": 0.24, ""probability"": 0.492919921875}, {""word"": ""gato"", ""start"": 0.24, ""end"": 0.86, ""probability"": 0.984375}, {""word"": ""que"", ""start"": 0.86, ""end"": 1.38, ""probability"": 0.83056640625}, {""word"": ""era"", ""start"": 1.38, ""end"": 1.68, ""probability"": 0.99658203125}, {""word"": ""negro."", ""start"": 1.68, ""end"": 2.26, ""probability"": 0.98828125}]",True
23,Antes de poder salir él tiene que limpiar su cuarto,265.6,271.0,5.4,eit_output_v3/038010_2A_preprocessed/responses/response_22.wav,"Antes de poder salir, tiene que limpiar su cuarto.",antes de poder salir tiene que limpiar su cuarto,antes de poder salir él tiene que limpiar su cuarto,0.1,0.0588,10,9,0.035,OK,mlx,4.539,"[{""word"": ""Antes"", ""start"": 0.0, ""end"": 0.26, ""probability"": 0.84521484375}, {""word"": ""de"", ""start"": 0.26, ""end"": 0.54, ""probability"": 0.99658203125}, {""word"": ""poder"", ""start"": 0.54, ""end"": 0.8, ""probability"": 0.978515625}, {""word"": ""salir,"", ""start"": 0.8, ""end"": 1.24, ""probability"": 0.99658203125}, {""word"": ""tiene"", ""start"": 1.52, ""end"": 2.56, ""probability"": 0.9560546875}, {""word"": ""que"", ""start"": 2.56, ""end"": 2.86, ""probability"": 0.9970703125}, {""word"": ""limpiar"", ""start"": 2.86, ""end"": 3.96, ""probability"": 0.99755859375}, {""word"": ""su"", ""start"": 3.96, ""end"": 4.3, ""probability"": 0.99169921875}, {""word"": ""cuarto."", ""start"": 4.3, ""end"": 5.1, ""probability"": 0.94384765625}]",True
24,La cantidad de personas que fuman ha disminuido,281.5,284.5,3.0,eit_output_v3/038010_2A_preprocessed/responses/response_23.wav,La cantidad de personas que fuman.,la cantidad de personas que fuman,la cantidad de personas que fuman ha disminuido,0.25,0.2979,10,6,0.0291,OK,mlx,5.125,"[{""word"": ""La"", ""start"": 0.0, ""end"": 0.2, ""probability"": 0.685546875}, {""word"": ""cantidad"", ""start"": 0.2, ""end"": 0.64, ""probability"": 0.99658203125}, {""word"": ""de"", ""start"": 0.64, ""end"": 1.32, ""probability"": 0.9736328125}, {""word"": ""personas"", ""start"": 1.32, ""end"": 1.88, ""probability"": 0.9931640625}, {""word"": ""que"", ""start"": 1.88, ""end"": 2.24, ""probability"": 0.99658203125}, {""word"": ""fuman."", ""start"": 2.24, ""end"": 2.68, ""probability"": 0.9794921875}]",True
25,Después de llegar a casa del trabajo tomé la cena,297.7,300.4,2.7,eit_output_v3/038010_2A_preprocessed/responses/response_24.wav,"Después de llegar a casa,",después de llegar a casa,después de llegar a casa del trabajo tomé la cena,0.5,0.5102,8,5,0.0942,OK,mlx,4.6,"[{""word"": ""Después"", ""start"": 0.0, ""end"": 0.46, ""probability"": 0.78125}, {""word"": ""de"", ""start"": 0.46, ""end"": 0.8, ""probability"": 0.9951171875}, {""word"": ""llegar"", ""start"": 0.8, ""end"": 1.22, ""probability"": 0.98974609375}, {""word"": ""a"", ""start"": 1.22, ""end"": 1.54, ""probability"": 0.99169921875}, {""word"": ""casa,"", ""start"": 1.54, ""end"": 1.88, ""probability"": 0.9970703125}]",True
26,El ladrón al que atrapó la policía era famoso,313.1,316.7,3.6,eit_output_v3/038010_2A_preprocessed/responses/response_25.wav,El ladrón policía era famoso.,el ladrón policía era famoso,el ladrón al que atrapó la policía era famoso,0.4444,0.3778,10,5,0.0236,OK,mlx,4.282,"[{""word"": ""El"", ""start"": 0.0, ""end"": 0.16, ""probability"": 0.841796875}, {""word"": ""ladrón"", ""start"": 0.16, ""end"": 0.88, ""probability"": 0.9609375}, {""word"": ""policía"", ""start"": 0.88, ""end"": 2.58, ""probability"": 0.923828125}, {""word"": ""era"", ""start"": 2.58, ""end"": 2.88, ""probability"": 0.99169921875}, {""word"": ""famoso."", ""start"": 2.88, ""end"": 3.36, ""probability"": 0.99365234375}]",True
27,Le pedí a un amigo que me ayudara con la tarea,328.6,332.5,3.9,eit_output_v3/038010_2A_preprocessed/responses/response_26.wav,Le pedí a un amigo que ayudara a Terea.,le pedí a un amigo que ayudara a terea,le pedí a un amigo que me ayudara con la tarea,0.3636,0.1957,9,9,0.0293,OK,mlx,5.052,"[{""word"": ""Le"", ""start"": 0.0, ""end"": 0.12, ""probability"": 0.62890625}, {""word"": ""pedí"", ""start"": 0.12, ""end"": 0.58, ""probability"": 0.9130859375}, {""word"": ""a"", ""start"": 0.58, ""end"": 0.62, ""probability"": 0.568359375}, {""word"": ""un"", ""start"": 0.62, ""end"": 0.8, ""probability"": 0.76953125}, {""word"": ""amigo"", ""start"": 0.8, ""end"": 1.06, ""probability"": 0.99462890625}, {""word"": ""que"", ""start"": 1.06, ""end"": 1.86, ""probability"": 0.93798828125}, {""word"": ""ayudara"", ""start"": 1.86, ""end"": 3.1, ""probability"": 0.88671875}, {""word"": ""a"", ""start"": 3.1, ""end"": 3.16, ""probability"": 0.80615234375}, {""word"": ""Terea."", ""start"": 3.16, ""end"": 3.84, ""probability"": 0.65234375}]",True
28,El examen no fue tan difícil como me habían dicho,343.5,349.9,6.4,eit_output_v3/038010_2A_preprocessed/responses/response_27.wav,Examen no tan difícil.,examen no tan difícil,el examen no fue tan difícil como me habían dicho,0.6,0.5714,11,4,0.0276,OK,mlx,3.557,"[{""word"": ""Examen"", ""start"": 0.0, ""end"": 0.52, ""probability"": 0.63818359375}, {""word"": ""no"", ""start"": 0.52, ""end"": 2.56, ""probability"": 0.68505859375}, {""word"": ""tan"", ""start"": 2.56, ""end"": 5.02, ""probability"": 0.994140625}, {""word"": ""difícil."", ""start"": 5.02, ""end"": 5.78, ""probability"": 0.939453125}]",True
28,El examen no fue tan difícil como me habían dicho,360.0,362.0,2.0,eit_output_v3/038010_2A_preprocessed/responses/response_28.wav,amable que está,amable que está,el examen no fue tan difícil como me habían dicho,1.0,0.8571,10,3,0.056,OK,mlx,3.05,"[{""word"": ""amable"", ""start"": 0.0, ""end"": 0.62, ""probability"": 0.6689453125}, {""word"": ""que"", ""start"": 0.62, ""end"": 0.92, ""probability"": 0.87841796875}, {""word"": ""está"", ""start"": 0.92, ""end"": 1.2, ""probability"": 0.486572265625}]",False
29,¿Serías tan amable de darme el libro que está en la mesa?,364.2,366.1,1.9,eit_output_v3/038010_2A_preprocessed/responses/response_29.wav,El libro que está en la mesa.,el libro que está en la mesa,serías tan amable de darme el libro que está en la mesa,0.4167,0.4909,12,7,0.0152,OK,mlx,3.005,"[{""word"": ""El"", ""start"": 0.0, ""end"": 0.2, ""probability"": 0.69677734375}, {""word"": ""libro"", ""start"": 0.2, ""end"": 0.54, ""probability"": 0.998046875}, {""word"": ""que"", ""start"": 0.54, ""end"": 0.8, ""probability"": 0.99462890625}, {""word"": ""está"", ""start"": 0.8, ""end"": 1.04, ""probability"": 0.970703125}, {""word"": ""en"", ""start"": 1.04, ""end"": 1.26, ""probability"": 0.9990234375}, {""word"": ""la"", ""start"": 1.26, ""end"": 1.38, ""probability"": 0.99951171875}, {""word"": ""mesa."", ""start"": 1.38, ""end"": 1.76, ""probability"": 1.0}]",False
30,Hay mucha gente que no toma nada para el desayuno,373.9,377.2,3.3,eit_output_v3/038010_2A_preprocessed/responses/response_30.wav,Hay mucha gente que no toma nada para desayuno.,hay mucha gente que no toma nada para desayuno,hay mucha gente que no toma nada para el desayuno,0.1,0.0612,10,9,0.0292,OK,mlx,4.169,"[{""word"": ""Hay"", ""start"": 0.0, ""end"": 0.16, ""probability"": 0.8310546875}, {""word"": ""mucha"", ""start"": 0.16, ""end"": 0.4, ""probability"": 0.9970703125}, {""word"": ""gente"", ""start"": 0.4, ""end"": 0.72, ""probability"": 0.99853515625}, {""word"": ""que"", ""start"": 0.72, ""end"": 1.06, ""probability"": 0.99072265625}, {""word"": ""no"", ""start"": 1.06, ""end"": 1.3, ""probability"": 0.99755859375}, {""word"": ""toma"", ""start"": 1.3, ""end"": 1.62, ""probability"": 0.99462890625}, {""word"": ""nada"", ""start"": 1.62, ""end"": 1.82, ""probability"": 0.9912109375}, {""word"": ""para"", ""start"": 1.82, ""end"": 2.26, ""probability"": 0.99365234375}, {""word"": ""desayuno."", ""start"": 2.26, ""end"": 3.22, ""probability"": 0.83251953125}]",False
